week,warehouse,overstock_cost,shortage_cost,backorder_cost,penalty_OA_cost,PLT_penalty_cost,transport_cost,total_cost
1,WH01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,WH02,0.0,0.5,0.0,2000.0,0.0,0.0,2000.5
1,WH03,0.0,24.0,0.0,0.0,0.0,540.0,564.0
1,WH04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,WH05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,WH06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,WH01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,WH02,0.0,3.0,0.0,0.0,0.0,0.0,3.0
2,WH03,0.0,27.5,0.0,0.0,0.0,0.0,27.5
2,WH04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,WH05,0.3,0.0,0.0,2000.0,0.0,180.0,2180.3
2,WH06,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,WH01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,WH02,0.0,1.5,0.0,0.0,0.0,0.0,1.5
3,WH03,0.0,35.0,0.0,0.0,0.0,0.0,35.0
3,WH04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,WH05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,WH06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,WH01,0.0,0.0,0.0,2000.0,0.0,0.0,2000.0
4,WH02,0.0,11.5,0.0,0.0,0.0,0.0,11.5
4,WH03,0.0,32.0,0.0,0.0,0.0,0.0,32.0
4,WH04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,WH05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,WH06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,WH01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,WH02,0.0,7.0,0.0,0.0,0.0,0.0,7.0
5,WH03,0.0,34.5,0.0,0.0,0.0,0.0,34.5
5,WH04,0.0,1.0,0.0,0.0,0.0,0.0,1.0
5,WH05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,WH06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,WH01,0.0,2.5,0.0,2000.0,0.0,0.0,2002.5
6,WH02,0.0,6.0,0.0,0.0,0.0,0.0,6.0
6,WH03,0.0,36.0,0.0,0.0,0.0,0.0,36.0
6,WH04,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,WH05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,WH06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,WH01,0.0,4.5,0.0,2000.0,0.0,0.0,2004.5
7,WH02,0.0,9.5,0.0,0.0,0.0,0.0,9.5
7,WH03,0.0,37.5,0.0,0.0,0.0,0.0,37.5
7,WH04,0.0,2.0,0.0,0.0,0.0,0.0,2.0
7,WH05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,WH06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,WH01,0.0,0.0,0.0,2000.0,0.0,0.0,2000.0
8,WH02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,WH03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,WH04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,WH05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,WH06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,WH01,0.0,0.0,0.0,2000.0,0.0,0.0,2000.0
9,WH02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,WH03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,WH04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,WH05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,WH06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,WH01,0.3,0.0,0.0,2000.0,0.0,0.0,2000.3
10,WH02,0.7,0.0,0.0,0.0,0.0,0.0,0.7
10,WH03,0.3,0.0,0.0,0.0,0.0,0.0,0.3
10,WH04,0.2,0.0,0.0,0.0,0.0,0.0,0.2
10,WH05,3.4,0.0,0.0,0.0,0.0,0.0,3.4
10,WH06,0.8,0.0,0.0,0.0,0.0,0.0,0.8
TOTAL,ALL,6.0,277.5,0.0,16000.0,0.0,720.0,17003.5
